symbol,negative_total_20251031,negative_far_from_zero_share_20251031,negative_mid_range_share_20251031,negative_near_zero_share_20251031,negative_total_20251103,negative_far_from_zero_share_20251103,negative_mid_range_share_20251103,negative_near_zero_share_20251103,positive_total_20251031,positive_near_zero_share_20251031,positive_mid_range_share_20251031,positive_far_from_zero_share_20251031,positive_total_20251103,positive_near_zero_share_20251103,positive_mid_range_share_20251103,positive_far_from_zero_share_20251103,mode_position_sec_20251031,mode_position_sec_20251103,round_lot_20251031,round_lot_20251103,treated_to40,treated_to10,group_label,group_order,actual_transition,y_pre,y_post,delta_y,outcome,display_name,side,family,transform
KMT,4.755488626456369,0.6233333333333334,0.2866666666666667,0.08999999999999998,4.336347646881162,0.5486725663716815,0.3761061946902655,0.0752212389380531,12.221605769992866,0.03631647211413749,0.25421530479896237,0.7094682230869002,11.74267592872244,0.01797385620915033,0.2630718954248366,0.7189542483660131,8.499773684889078e-08,6.63440005155e-05,100.0,100.0,0,0,stay100,0,100->100,0.2866666666666667,0.3761061946902655,0.08943952802359884,negative_mid_range_share,Negative mid-range share,negative,share,signed
KMX,1.0942295151143167,0.6178268586077696,0.288897653322816,0.09327548806941427,1.0171394354438448,0.5477980665950591,0.3326172574292875,0.11958467597565339,2.708708953506214,0.030351310443718624,0.19071138373297222,0.7789373058233092,3.0007980479975944,0.03131067961165047,0.22694174757281554,0.741747572815534,-6.998001481406391e-06,-1.3699973351322114e-06,100.0,100.0,0,0,stay100,0,100->100,0.288897653322816,0.3326172574292875,0.04371960410647152,negative_mid_range_share,Negative mid-range share,negative,share,signed
KN,4.915782038144319,0.6083788706739528,0.2896174863387978,0.10200364298724957,3.6497604629903293,0.5220338983050846,0.37627118644067803,0.10169491525423728,12.079034552744421,0.0318754633061527,0.2935507783543366,0.6745737583395107,9.21719167772134,0.03624161073825503,0.34093959731543627,0.6228187919463086,6.20200007688e-05,5.08729935972e-05,100.0,100.0,0,0,stay100,0,100->100,0.2896174863387978,0.37627118644067803,0.08665370010188023,negative_mid_range_share,Negative mid-range share,negative,share,signed
KNF,3.6474607003513086,0.744340878828229,0.2063914780292943,0.0492676431424767,3.7545278918135714,0.7279305354558611,0.2337192474674385,0.03835021707670044,10.884100438731402,0.010709504685408293,0.17090584560464078,0.818384649709951,11.192948563148997,0.009951456310679604,0.12985436893203883,0.8601941747572815,0.0001008480030577,9.04240005183e-05,100.0,100.0,0,0,stay100,0,100->100,0.2063914780292943,0.2337192474674385,0.02732776943814419,negative_mid_range_share,Negative mid-range share,negative,share,signed
KNOP,14.61654135338346,0.4444444444444444,0.4074074074074074,0.14814814814814814,4.744270634282627,0.58,0.3500000000000001,0.06999999999999999,17.86466165413534,0.0,0.4242424242424242,0.5757575757575758,9.962968331993515,0.042857142857142864,0.3761904761904762,0.580952380952381,4.93960033054e-05,7.12219989509e-05,100.0,100.0,0,0,stay100,0,100->100,0.4074074074074074,0.3500000000000001,-0.057407407407407296,negative_mid_range_share,Negative mid-range share,negative,share,signed
KNSA,4.205607476635514,0.611111111111111,0.2777777777777778,0.11111111111111109,18.909952606635073,0.6842105263157894,0.24060150375939846,0.07518796992481203,7.827102803738317,0.059701492537313425,0.17910447761194032,0.7611940298507464,23.175355450236967,0.024539877300613498,0.3067484662576687,0.6687116564417178,-6.020054570399225e-07,-2.5000044843181968e-06,100.0,100.0,0,0,stay100,0,100->100,0.2777777777777778,0.24060150375939846,-0.037176274018379335,negative_mid_range_share,Negative mid-range share,negative,share,signed
KNTK,5.443249249114498,0.6619354838709676,0.2567741935483871,0.08129032258064514,6.479147810346029,0.6827852998065764,0.25725338491295935,0.059961315280464215,9.797848648406093,0.03297491039426523,0.264516129032258,0.7025089605734767,12.131170368307457,0.023760330578512394,0.23863636363636365,0.737603305785124,5.21969996043e-05,6.09410053584e-05,100.0,100.0,0,0,stay100,0,100->100,0.2567741935483871,0.25725338491295935,0.0004791913645722512,negative_mid_range_share,Negative mid-range share,negative,share,signed
KNX,1.1205004586496776,0.6384951649225064,0.29937740098026233,0.0621274340972314,1.570989264815824,0.6314419573138991,0.3006246746486205,0.06793336803748044,2.3247156157598696,0.02917890435448855,0.28259481547695053,0.6882262801685608,4.0023016460221985,0.022067838169186744,0.25756027789129543,0.7203718839395178,5.90850031585e-05,5.95910023548e-05,100.0,100.0,0,0,stay100,0,100->100,0.29937740098026233,0.3006246746486205,0.0012472736683581953,negative_mid_range_share,Negative mid-range share,negative,share,signed
KO,0.6408007499761303,0.5833805095026283,0.3496967246259603,0.06692276587141124,0.42151254009818684,0.5755946379896196,0.3545050595571488,0.06990030245323166,1.4263193401712937,0.02810427831773999,0.2539921882096467,0.7179035334726134,1.1908779851928277,0.026988091933970334,0.2520122120455176,0.7209996960205121,5.45250004506e-05,5.78889957978e-05,100.0,100.0,0,0,stay100,0,100->100,0.3496967246259603,0.3545050595571488,0.004808334931188485,negative_mid_range_share,Negative mid-range share,negative,share,signed
KOD,7.368144843872998,0.7564102564102565,0.217948717948718,0.025641025641025637,13.189189189189188,0.7131147540983606,0.2377049180327869,0.049180327868852465,12.847021779060615,0.05147058823529411,0.3161764705882353,0.6323529411764706,21.08108108108108,0.020512820512820513,0.24102564102564106,0.7384615384615385,4.65470002382e-05,-1.04540013126e-05,100.0,100.0,0,0,stay100,0,100->100,0.217948717948718,0.2377049180327869,0.019756200084068892,negative_mid_range_share,Negative mid-range share,negative,share,signed
KODK,8.518602692477373,0.4519774011299435,0.4406779661016949,0.1073446327683616,8.069892380837953,0.5773353751914243,0.32618683001531396,0.09647779479326186,21.176187484124544,0.05,0.4193181818181818,0.5306818181818183,23.17158991435094,0.026666666666666665,0.33226666666666665,0.6410666666666667,6.28889974905e-05,6.17249970673e-05,100.0,100.0,0,0,stay100,0,100->100,0.4406779661016949,0.32618683001531396,-0.11449113608638095,negative_mid_range_share,Negative mid-range share,negative,share,signed
