symbol,negative_total_20251031,negative_far_from_zero_share_20251031,negative_mid_range_share_20251031,negative_near_zero_share_20251031,negative_total_20251103,negative_far_from_zero_share_20251103,negative_mid_range_share_20251103,negative_near_zero_share_20251103,positive_total_20251031,positive_near_zero_share_20251031,positive_mid_range_share_20251031,positive_far_from_zero_share_20251031,positive_total_20251103,positive_near_zero_share_20251103,positive_mid_range_share_20251103,positive_far_from_zero_share_20251103,mode_position_sec_20251031,mode_position_sec_20251103,round_lot_20251031,round_lot_20251103,treated_to40,treated_to10,group_label,group_order,actual_transition,y_pre,y_post,delta_y,outcome,display_name,side,family,transform
FNKO,5.5371775295989245,0.7390852390852392,0.2422037422037422,0.0187110187110187,7.680366730712888,0.7268588770864947,0.2291350531107739,0.04400606980273141,14.832958933239533,0.009701202949165695,0.07683352735739231,0.913465269693442,22.60988081575569,0.007731958762886598,0.0907216494845361,0.9015463917525773,0.000154745997861,0.0001522870006738,100.0,100.0,0,0,stay100,0,100->100,14.832958933239533,22.60988081575569,0.3995715272726432,positive_total,Positive total,positive,sum,log1p
FOLD,3.350132840787713,0.6881906077348067,0.280732044198895,0.03107734806629834,2.961681777330835,0.7117865347234493,0.2562290157271603,0.031984449549390344,8.243455325778054,0.012349143979792308,0.10230143137805221,0.8853494246421555,6.548776122944114,0.015344042196116028,0.12714776632302405,0.8575081914808599,0.0001177230005851,0.0001179210012196,100.0,100.0,0,0,stay100,0,100->100,8.243455325778054,6.548776122944114,-0.2025303215573513,positive_total,Positive total,positive,sum,log1p
FORD,13.75347100902922,0.772563176895307,0.2003610108303249,0.027075812274368227,18.755972510090547,0.8253768844221105,0.16331658291457285,0.011306532663316578,21.226024752202136,0.01286549707602339,0.12397660818713449,0.8631578947368421,24.929420748336426,0.006616257088846881,0.09640831758034026,0.8969754253308128,0.0001161790059995,0.0001253790032933,100.0,100.0,0,0,stay100,0,100->100,21.226024752202136,24.929420748336426,0.15411437182470022,positive_total,Positive total,positive,sum,log1p
FORM,2.4659697298342276,0.8013781921361979,0.1767835427644913,0.021838265099310885,3.338805944367128,0.7799878530215608,0.19617370179167934,0.02383844518675978,4.136896624700114,0.011749071249509186,0.11450058896372588,0.873750339786765,6.538199250607782,0.011165387299371944,0.09746452663410095,0.891370086066527,0.0001417780003976,0.000235239000176,100.0,100.0,0,0,stay100,0,100->100,4.136896624700114,6.538199250607782,0.3835341997057464,positive_total,Positive total,positive,sum,log1p
FORR,10.60228698165688,0.7999999999999999,0.17901234567901234,0.020987654320987648,9.033134817538672,0.6442477876106194,0.31681415929203544,0.03893805309734513,14.286908938862325,0.0146587265231333,0.1429225836005497,0.842418689876317,11.079579519565131,0.01443001443001443,0.1486291486291486,0.836940836940837,0.0001348950027022,0.0001346450007986,100.0,100.0,0,0,stay100,0,100->100,14.286908938862325,11.079579519565131,-0.23548045331366474,positive_total,Positive total,positive,sum,log1p
FOSL,9.633977900552487,0.6559139784946235,0.30645161290322576,0.037634408602150525,10.52051801442975,0.6822429906542057,0.2866043613707165,0.031152647975077878,37.29281767955801,0.01388888888888889,0.13333333333333333,0.8527777777777779,27.792521109770803,0.009433962264150947,0.10849056603773585,0.8820754716981132,0.0001649260011618,0.0001300899966736,100.0,100.0,0,0,stay100,0,100->100,37.29281767955801,27.792521109770803,-0.2851466809224199,positive_total,Positive total,positive,sum,log1p
FOX,1.11875513890295,0.7687415426251692,0.20811907983761838,0.023139377537212437,1.259863263477519,0.755392273050486,0.21735008295804698,0.027257643991467156,2.948578327525407,0.01011449401858602,0.08394516609334085,0.9059403398880731,2.6131935100004196,0.010627356873500172,0.10055993600731344,0.8888127071191864,0.0001559759984957,0.0001560419987072,100.0,100.0,0,0,stay100,0,100->100,2.948578327525407,2.6131935100004196,-0.08876358694484354,positive_total,Positive total,positive,sum,log1p
FOXA,1.028920300421561,0.7894258720930233,0.18891715116279065,0.02165697674418598,0.7820851798458253,0.7561978163134234,0.21657032755298644,0.02723185613359016,1.8584125164518206,0.01138695529714719,0.09638675411419144,0.8922262905886613,1.6689004560293865,0.01206922498118883,0.09754702784048154,0.8903837471783297,0.0001491059956606,0.0001498290002928,100.0,100.0,0,0,stay100,0,100->100,1.8584125164518206,1.6689004560293865,-0.06859983317673635,positive_total,Positive total,positive,sum,log1p
FOXF,6.850913898207803,0.7342398022249691,0.23918417799752784,0.026576019777503082,4.756547563890123,0.7183999999999999,0.2548,0.026799999999999997,11.851488257777282,0.016077170418006423,0.12254376563058234,0.8613790639514113,9.147792274873485,0.012479201331114803,0.13082362728785357,0.8566971713810316,0.0001390030010952,0.0001485520042479,100.0,100.0,0,0,stay100,0,100->100,11.851488257777282,9.147792274873485,-0.23620345039631863,positive_total,Positive total,positive,sum,log1p
FRAF,4.018853882411312,0.6666666666666667,0.33333333333333337,0.0,9.365392195506503,0.696969696969697,0.30303030303030304,0.0,27.4621681964773,0.024390243902439025,0.24390243902439027,0.7317073170731706,15.60898699251084,0.01818181818181818,0.09090909090909088,0.8909090909090909,0.000135672999022,0.0001361550021101,100.0,100.0,0,0,stay100,0,100->100,27.4621681964773,15.60898699251084,-0.5386318397966616,positive_total,Positive total,positive,sum,log1p
