symbol,negative_total_20251031,negative_far_from_zero_share_20251031,negative_mid_range_share_20251031,negative_near_zero_share_20251031,negative_total_20251103,negative_far_from_zero_share_20251103,negative_mid_range_share_20251103,negative_near_zero_share_20251103,positive_total_20251031,positive_near_zero_share_20251031,positive_mid_range_share_20251031,positive_far_from_zero_share_20251031,positive_total_20251103,positive_near_zero_share_20251103,positive_mid_range_share_20251103,positive_far_from_zero_share_20251103,mode_position_sec_20251031,mode_position_sec_20251103,mean_close_202509,n_close_obs_202509,round_lot_20251031,round_lot_20251103,y_pre,y_post,delta_y,display_name,side,family,transform,running,D_rule,expected_post_round_lot,rule_consistent,D_actual
ABEV,2.407826646808524,0.7503015681544029,0.21471652593486132,0.034981905910735814,0.5018476649204632,0.8131313131313134,0.17171717171717168,0.01515151515151496,3.889119276328847,0.014189693801344282,0.22330097087378642,0.7625093353248693,0.9453998940168324,0.029490616621983882,0.26273458445040215,0.707774798927614,4.02139994548e-05,5.22189948242e-05,2.2704761904761903,21.0,100.0,100.0,3.889119276328847,0.9453998940168324,-0.9215446232009907,Positive total,positive,sum,log1p,-247.7295238095238,0,100.0,True,0
ABG,7.49540649215775,0.7146282973621104,0.24460431654676257,0.040767386091127095,4.350198398528223,0.6926713947990545,0.25059101654846344,0.05673758865248226,20.347242563843103,0.012367491166077738,0.20318021201413428,0.784452296819788,14.593218741162051,0.025369978858350954,0.21212121212121215,0.7625088090204369,8.51239965413e-05,9.38290031626e-05,246.47238095238095,21.0,100.0,100.0,20.347242563843103,14.593218741162051,-0.31408645374678645,Positive total,positive,sum,log1p,-3.527619047619055,0,100.0,True,0
ABM,7.528997531133895,0.566820276497696,0.3824884792626729,0.05069124423963133,5.8674993917547935,0.5173913043478261,0.3608695652173914,0.12173913043478261,12.768069545886052,0.029891304347826088,0.3396739130434783,0.6304347826086957,15.127944083959099,0.04384485666104553,0.2664418212478921,0.6897133220910624,8.11659992905e-05,-7.259950507432222e-07,46.2,21.0,100.0,100.0,12.768069545886052,15.127944083959099,0.15820131469999232,Positive total,positive,sum,log1p,-203.8,0,100.0,True,0
ABR,2.332141170119441,0.6441271551724138,0.2993444683908046,0.0565283764367816,4.133212087715105,0.6800162634681846,0.25797926407806465,0.062004472453750764,3.9458546926010643,0.028845898681102867,0.2188785393944219,0.7522755619244752,8.29919410253346,0.02844993419054368,0.23762275994735244,0.7339273058621039,-1.20059994515e-05,5.296299787e-05,11.86095238095238,21.0,100.0,100.0,3.9458546926010643,8.29919410253346,0.6313779508656785,Positive total,positive,sum,log1p,-238.13904761904763,0,100.0,True,0
ABT,1.0856278009284865,0.6531313446821803,0.2872091207246603,0.05965953459315939,0.9679287402232206,0.6551015163197123,0.28912875867386273,0.05576972500642501,1.9162526012952918,0.0296407715448593,0.2599539904441692,0.7104052380109714,2.1385976303518452,0.02233337210654877,0.21705246016052107,0.76061416773293,6.39109930489e-05,8.0887999502e-05,133.26,21.0,100.0,100.0,1.9162526012952918,2.1385976303518452,0.07347664926735087,Positive total,positive,sum,log1p,-116.74000000000001,0,100.0,True,0
ACA,8.445742730458775,0.7400204708290685,0.20777891504605936,0.052200614124872056,6.039296794208893,0.7066210045662101,0.25114155251141557,0.04223744292237443,18.3783511207322,0.016462841015992467,0.13499529633113824,0.8485418626528692,14.153740089624268,0.021432050657574277,0.15781782756941062,0.8207501217730151,-3.3519972930662334e-06,9.22219987842e-05,95.30190476190475,21.0,100.0,100.0,18.3783511207322,14.153740089624268,-0.2459091492633112,Positive total,positive,sum,log1p,-154.69809523809525,0,100.0,True,0
ACCO,12.493913043478262,0.5734966592427617,0.3596881959910913,0.06681514476614699,13.606874894225164,0.6156716417910448,0.31343283582089554,0.0708955223880597,22.608695652173914,0.04369230769230768,0.2701538461538462,0.6861538461538462,23.35508377367006,0.03043478260869565,0.25217391304347825,0.7173913043478262,-1.64680022862e-05,-1.2960001186e-05,4.0338095238095235,21.0,100.0,100.0,22.608695652173914,23.35508377367006,0.031125502938630145,Positive total,positive,sum,log1p,-245.9661904761905,0,100.0,True,0
ACEL,12.607537114579372,0.7753623188405796,0.21014492753623185,0.014492753623188399,6.604098345804721,0.5481481481481482,0.4222222222222223,0.029629629629629627,23.11381804339551,0.027667984189723317,0.1818181818181818,0.7905138339920947,12.670084974543872,0.015444015444015444,0.19305019305019305,0.7915057915057915,4.22709999838e-05,-1.95539978449e-05,11.205238095238096,21.0,100.0,100.0,23.11381804339551,12.670084974543872,-0.5675751721334987,Positive total,positive,sum,log1p,-238.7947619047619,0,100.0,True,0
ACHR,0.30208600924556783,0.5791874254438285,0.34846677426145534,0.07234580029471606,0.3398189049325155,0.6690209714223624,0.27534499619689234,0.05563403238074537,1.254363876016173,0.01689902830587238,0.22920152091254758,0.7538994507815802,1.0195674891879407,0.017945096334926764,0.20525496161089385,0.7767999420541793,6.72789974487e-05,5.56419981876e-05,9.038571428571428,21.0,100.0,100.0,1.254363876016173,1.0195674891879407,-0.10998446404135698,Positive total,positive,sum,log1p,-240.96142857142857,0,100.0,True,0
ACI,2.871074846585757,0.6444746376811593,0.30993357487922707,0.0455917874396135,1.8645280897150824,0.638036809815951,0.3045715416584207,0.05739164852562832,6.203758194320945,0.022287431006777048,0.20331167470132047,0.7744008942919024,5.623103811432443,0.02559223046131636,0.2456197913248901,0.7287879782137936,5.6876000599e-05,5.83309956709e-05,18.34285714285714,21.0,100.0,100.0,6.203758194320945,5.623103811432443,-0.08403874751370166,Positive total,positive,sum,log1p,-231.65714285714284,0,100.0,True,0
ACM,5.606626773628786,0.7527964205816554,0.20134228187919467,0.04586129753914989,4.569061293663497,0.6973293768545994,0.24826904055390703,0.05440158259149355,10.949854973999845,0.018327605956471933,0.1718213058419244,0.8098510882016037,14.122963939365413,0.01791999999999999,0.17024,0.81184,8.83640022948e-05,9.61340047069e-05,128.11238095238096,21.0,100.0,100.0,10.949854973999845,14.122963939365413,0.23549523703935016,Positive total,positive,sum,log1p,-121.88761904761904,0,100.0,True,0
ACN,1.9830247692924068,0.6400679117147707,0.3056027164685909,0.05432937181663837,1.4844989044307515,0.6930116472545758,0.26206322795341097,0.04492512479201327,3.2287279350618303,0.02752867570385818,0.20792492179353494,0.7645464025026069,2.2514488375850754,0.021941854086670307,0.16364966172974948,0.8144084841835801,-3.009998181369156e-06,-9.435003448743371e-06,244.1161904761905,21.0,100.0,100.0,3.2287279350618303,2.2514488375850754,-0.2628005300757399,Positive total,positive,sum,log1p,-5.883809523809504,0,100.0,True,0
